platform,company_name,job_title,domain_category,skills_required,location,stipend,duration_months,posted_date,intern_type,cleaned_stipend
LinkedIn,WedMeGood: India's Favourite Wedding Planning Platform,Marketing Internship in Gurgaon (Hybrid),Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-25,Not specified,0.0
LinkedIn,Tower Research Capital,Machine Learning Intern 2025,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-23,Not specified,0.0
LinkedIn,Unacademy,Social Media Intern,Not specified,Not provided,"Pune, Maharashtra, India",Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,Wakefit,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-16,Not specified,0.0
LinkedIn,AdEngage,Full Stack Developer (Intern),Not specified,Not provided,"Navi Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-04,Not specified,0.0
LinkedIn,Paisabazaar,"Human Resources (HR) Internship in Chennai, Mumbai",Not specified,Not provided,Mumbai Metropolitan Region,Not specified,Not specified,2025-04-26,Not specified,0.0
LinkedIn,Yardstick,Human Resources (HR) Internship in Bangalore,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-04-13,Not specified,0.0
LinkedIn,Capco,Human Resources Intern,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-05-05,Not specified,0.0
LinkedIn,Unacademy,Human Resources Intern,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-05-08,Not specified,0.0
LinkedIn,CNN Foods,Sales And Marketing Intern,Not specified,Not provided,"New Delhi, Delhi, India",Not specified,Not specified,2025-04-25,Not specified,0.0
LinkedIn,Healthysure,Marketing Internship in Mumbai,Not specified,Not provided,Mumbai Metropolitan Region,Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,Rockit,Finance Intern,Not specified,Not provided,"Gurugram, Haryana, India",Not specified,Not specified,2025-05-01,Not specified,0.0
LinkedIn,V-Mart Retail Ltd.,"Human Resources (HR) Internship in Gurgaon, Delhi",Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-14,Not specified,0.0
LinkedIn,Deutsche Bank,BITS Internship OPS evergreen req,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-01-11,Not specified,0.0
LinkedIn,Openhouse,BTL Marketing Internship in Bangalore,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-04-13,Not specified,0.0
LinkedIn,V-Mart Retail Ltd.,"Human Resources (HR) Internship in Gurgaon, Delhi",Not specified,Not provided,"Delhi, India",Not specified,Not specified,2025-04-14,Not specified,0.0
LinkedIn,Leap,Human Resources (HR) Internship in Bangalore,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,Infinx,Finance Interns,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2024-11-05,Not specified,0.0
LinkedIn,Aviation Indeed™️,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-10,Not specified,0.0
LinkedIn,Airlearn,Product Management Intern,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-04-11,Not specified,0.0
LinkedIn,RECRIVIO,Program Management Intern,Not specified,Not provided,"Bangalore Urban, Karnataka, India",Not specified,Not specified,2025-04-14,Not specified,0.0
LinkedIn,Justdial,Human Resources (HR) Internship in Hyderabad,Not specified,Not provided,"Hyderabad, Telangana, India",Not specified,Not specified,2025-04-29,Not specified,0.0
LinkedIn,Reliance Retail,HR Intern - Vision Express Bangalore,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-05-07,Not specified,0.0
LinkedIn,HGS Interactive,Human Resources Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-23,Not specified,0.0
LinkedIn,Future AGI,Machine Learning Intern,Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-04-30,Not specified,0.0
LinkedIn,Softcell Technologies Global Pvt. Ltd.,Marketing Intern,Not specified,Not provided,"Pune, Maharashtra, India",Not specified,Not specified,2025-01-04,Not specified,0.0
LinkedIn,Boost,Marketing Intern,Not specified,Not provided,"Vasant Vihar, Delhi, India",Not specified,Not specified,2025-04-30,Not specified,0.0
LinkedIn,PayU,Marketing Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-29,Not specified,0.0
LinkedIn,Testbook,Marketing Research Intern,Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-02-16,Not specified,0.0
LinkedIn,TheCorporate,IT Recruiter,Not specified,Not provided,India,Not specified,Not specified,2025-05-07,Not specified,0.0
LinkedIn,Kulfi Collective,Intern - Social Media,Not specified,Not provided,Mumbai Metropolitan Region,Not specified,Not specified,2025-04-30,Not specified,0.0
LinkedIn,PATH,Intern- Strategy & Business Development,Not specified,Not provided,Greater Delhi Area,Not specified,Not specified,2025-04-09,Not specified,0.0
LinkedIn,PATH,Intern- Strategy & Business Development,Not specified,Not provided,Greater Delhi Area,Not specified,Not specified,2025-04-09,Not specified,0.0
LinkedIn,Rethinking The Future,Editorial Intern,Not specified,Not provided,"Delhi, Delhi, India",Not specified,Not specified,2025-04-04,Not specified,0.0
LinkedIn,FabHotels,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-02,Not specified,0.0
LinkedIn,Delhivery,Business Development Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-05-08,Not specified,0.0
LinkedIn,Practo,"Human Resources (HR) Internship in Bangalore, Bangalore",Not specified,Not provided,"Bengaluru, Karnataka, India",Not specified,Not specified,2025-04-26,Not specified,0.0
LinkedIn,Moglix,Human Resources (HR) Internship in Noida,Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,Bynry Inc.,Product Management Interns,Not specified,Not provided,"Pune, Maharashtra, India",Not specified,Not specified,2025-02-18,Not specified,0.0
LinkedIn,OnGrid,Accounting Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-07,Not specified,0.0
LinkedIn,Balancehero India,Human Resources Intern,Not specified,Not provided,"Gurugram, Haryana, India",Not specified,Not specified,2025-04-15,Not specified,0.0
LinkedIn,Astrotalk,Human Resources (HR) Internship in Noida,Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,CaRPM,Automotive Research Analyst Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-22,Not specified,0.0
LinkedIn,KMG Legal,"Law/Legal Internship in Delhi, Noida",Not specified,Not provided,"Delhi, India",Not specified,Not specified,2025-04-04,Not specified,0.0
LinkedIn,AdmitKard,Human Resources Intern,Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-05-07,Not specified,0.0
LinkedIn,Sberbank India,Assistant Client Relations Manager,Not specified,Not provided,"Delhi, Delhi, India",Not specified,Not specified,2025-02-10,Not specified,0.0
LinkedIn,Incentius,Human Resources (HR) Internship in Pune,Not specified,Not provided,"Pune, Maharashtra, India",Not specified,Not specified,2025-04-18,Not specified,0.0
LinkedIn,BeepHire.ai,"Human Resources (HR) Internship in Chennai, Delhi, Pune, Hyderabad, Mumbai, Bangalore",Not specified,Not provided,"Delhi, India",Not specified,Not specified,2025-05-10,Not specified,0.0
LinkedIn,KMG Legal,"Law/Legal Internship in Delhi, Noida",Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-04-04,Not specified,0.0
LinkedIn,Condé Nast Technology Lab,Social Media Marketing Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-17,Not specified,0.0
LinkedIn,Mittal Teas,"Marketing Internship in Gurgaon, Delhi (Hybrid)",Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-07,Not specified,0.0
